0,1,2,3,4,5,columns,values
143,3,160,66,0.0,0.0,911,17056.0
143,3,52,67,0.0,0.0,911,17204.0
143,3,96,68,0.0,0.0,911,17504.0
143,3,144,69,0.0,0.0,911,17808.0
143,3,196,70,0.0,0.0,911,18116.0
143,3,254,71,0.0,0.0,911,18430.0
143,3,61,73,0.0,0.0,911,18749.0
143,3,128,74,0.0,0.0,911,19072.0
143,3,36,75,0.0,0.0,911,19236.0
143,3,111,76,0.0,0.0,911,19567.0
143,3,191,77,0.0,0.0,911,19903.0
143,3,20,79,0.0,0.0,911,20244.0
143,3,111,80,0.0,0.0,911,20591.0
143,3,207,81,0.0,0.0,911,20943.0
143,3,129,82,0.0,0.0,911,21121.0
143,3,234,83,0.0,0.0,911,21482.0
143,3,87,85,0.0,0.0,911,21847.0
143,3,203,86,0.0,0.0,911,22219.0
143,3,68,88,0.0,0.0,911,22596.0
143,3,195,89,0.0,0.0,911,22979.0
143,3,71,91,0.0,0.0,911,23367.0
143,3,12,92,0.0,0.0,911,23564.0
143,3,153,93,0.0,0.0,911,23961.0
143,3,45,95,0.0,0.0,911,24365.0
143,3,199,96,0.0,0.0,911,24775.0
143,3,103,98,0.0,0.0,911,25191.0
143,3,57,99,0.0,0.0,911,25401.0
143,3,226,100,0.0,0.0,911,25826.0
143,3,146,102,0.0,0.0,911,26258.0
143,3,72,104,0.0,0.0,911,26696.0
143,3,5,106,0.0,0.0,911,27141.0
143,3,200,107,0.0,0.0,911,27592.0
143,3,146,109,0.0,0.0,911,28050.0
143,3,99,111,0.0,0.0,911,28515.0
143,3,78,112,0.0,0.0,911,28750.0
143,3,42,114,0.0,0.0,911,29226.0
143,3,12,116,0.0,0.0,911,29708.0
143,3,246,117,0.0,0.0,911,30198.0
143,3,230,119,0.0,0.0,911,30694.0
143,3,225,120,0.0,0.0,911,30945.0
143,3,221,122,0.0,0.0,911,31453.0
143,3,224,124,0.0,0.0,911,31968.0
143,3,235,126,0.0,0.0,911,32491.0
143,3,253,128,0.0,0.0,911,33021.0
143,3,23,131,0.0,0.0,911,33559.0
143,3,57,133,0.0,0.0,911,34105.0
143,3,77,134,0.0,0.0,911,34381.0
143,3,122,136,0.0,0.0,911,34938.0
143,3,176,138,0.0,0.0,911,35504.0
143,3,238,140,0.0,0.0,911,36078.0
143,3,52,143,0.0,0.0,911,36660.0
143,3,131,145,0.0,0.0,911,37251.0
143,3,173,146,0.0,0.0,911,37549.0
143,3,8,149,0.0,0.0,911,38152.0
143,3,108,151,0.0,0.0,911,38764.0
143,3,217,153,0.0,0.0,911,39385.0
143,3,78,156,0.0,0.0,911,40014.0
143,3,204,158,0.0,0.0,911,40652.0
143,3,84,161,0.0,0.0,911,41300.0
143,3,155,162,0.0,0.0,911,41627.0
143,3,48,165,0.0,0.0,911,42288.0
143,3,206,167,0.0,0.0,911,42958.0
143,3,118,170,0.0,0.0,911,43638.0
143,3,40,173,0.0,0.0,911,44328.0
143,3,132,174,0.0,0.0,911,44676.0
