0,1,2,3,4,5
143,3,98,42,2.0,0.0
47,1,2,0,0.0,0.0
143,3,223,49,2.0,0.0
47,1,2,0,0.0,0.0
143,3,114,57,2.0,0.0
47,1,2,0,0.0,0.0
143,3,68,61,2.0,0.0
47,1,2,0,0.0,0.0
143,3,248,68,2.0,0.0
47,1,2,0,0.0,0.0
143,3,195,76,2.0,0.0
47,1,2,0,0.0,0.0
143,3,164,84,2.0,0.0
47,1,2,0,0.0,0.0
143,3,155,92,2.0,0.0
47,1,2,0,0.0,0.0
143,3,170,100,2.0,0.0
47,1,2,0,0.0,0.0
143,3,207,108,2.0,0.0
47,1,2,0,0.0,0.0
143,3,235,112,2.0,0.0
47,1,2,0,0.0,0.0
143,3,51,121,2.0,0.0
47,1,2,0,0.0,0.0
143,3,147,129,2.0,0.0
47,1,2,0,0.0,0.0
143,3,11,138,2.0,0.0
47,1,2,0,0.0,0.0
143,3,155,146,2.0,0.0
47,1,2,0,0.0,0.0
143,3,236,150,2.0,0.0
47,1,2,0,0.0,0.0
143,3,160,159,2.0,0.0
47,1,2,0,0.0,0.0
143,3,108,168,2.0,0.0
47,1,2,0,0.0,0.0
143,3,81,177,2.0,0.0
47,1,2,0,0.0,0.0
143,3,79,186,2.0,0.0
47,1,2,0,0.0,0.0
143,3,101,195,2.0,0.0
47,1,2,0,0.0,0.0
143,3,149,204,2.0,0.0
47,1,2,0,0.0,0.0
143,3,55,209,2.0,0.0
47,1,2,0,0.0,0.0
143,3,141,218,2.0,0.0
47,1,3,0,0.0,0.0
143,3,252,227,2.0,0.0
47,1,3,0,0.0,0.0
143,3,134,237,2.0,0.0
47,1,3,0,0.0,0.0
143,3,41,247,2.0,0.0
47,1,3,0,0.0,0.0
143,3,231,0,3.0,0.0
47,1,3,0,0.0,0.0
143,3,208,5,3.0,0.0
47,1,3,0,0.0,0.0
143,3,182,15,3.0,0.0
47,1,3,0,0.0,0.0
143,3,182,25,3.0,0.0
47,1,3,0,0.0,0.0
143,3,209,35,3.0,0.0
47,1,3,0,0.0,0.0
143,3,8,46,3.0,0.0
47,1,3,0,0.0,0.0
143,3,89,56,3.0,0.0
47,1,3,0,0.0,0.0
143,3,199,66,3.0,0.0
47,1,3,0,0.0,0.0
143,3,8,72,3.0,0.0
47,1,3,0,0.0,0.0
143,3,159,82,3.0,0.0
47,1,3,0,0.0,0.0
143,3,82,93,3.0,0.0
47,1,3,0,0.0,0.0
143,3,33,104,3.0,0.0
47,1,3,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,13,115,3.0,0.0
47,1,3,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,141,120,3.0,0.0
47,1,3,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,164,131,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,216,142,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,40,154,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,151,165,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,34,177,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,204,188,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,171,194,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,130,206,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,118,218,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,137,230,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,187,242,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,12,255,3.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,64,5,4.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,191,17,4.0,0.0
47,1,4,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,93,30,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,27,43,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,249,55,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,246,68,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,20,82,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,175,88,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,253,101,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,108,115,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,252,128,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,173,142,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,145,149,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,116,163,4.0,0.0
47,1,5,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,120,177,4.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,158,191,4.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,230,205,4.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,79,220,4.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,219,234,4.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,138,249,4.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,238,0,5.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,209,15,5.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,214,30,5.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,255,45,5.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,74,61,5.0,0.0
47,1,6,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,254,68,5.0,0.0
47,1,7,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,127,84,5.0,0.0
47,1,7,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,36,100,5.0,0.0
47,1,7,0,0.0,0.0
77,3,1,0,0.0,0.0
143,3,237,115,5.0,0.0
47,1,7,0,0.0,0.0
