0,1,2,3,Intensity
39241,0,0,0,0
54601,0,0,0,0
4426,0,0,0,0
19786,0,0,0,0
35146,0,0,0,0
50506,0,0,0,0
331,0,0,0,0
15691,0,0,0,0
31051,0,0,0,0
46411,0,0,0,0
61771,0,0,0,0
11596,0,0,0,0
26956,0,0,0,0
42316,0,0,0,0
57676,0,0,0,0
7501,0,0,0,0
22861,0,0,0,0
38221,0,0,0,0
53581,0,0,0,0
3406,0,0,0,0
19022,0,0,0,0
34382,0,0,0,0
49742,0,0,0,0
65102,0,0,0,0
14927,0,0,0,0
30287,0,0,0,0
45647,0,0,0,0
61007,0,0,0,0
10832,0,0,0,0
26192,0,0,0,0
41552,0,0,0,0
56912,0,0,0,0
6737,0,0,0,0
22097,0,0,0,0
37457,0,0,0,0
52817,0,0,0,0
2642,0,0,0,0
18002,0,0,0,0
33362,0,0,0,0
48722,0,0,0,0
64082,0,0,0,0
13907,0,0,0,0
29267,0,0,0,0
44627,0,0,0,0
59987,0,0,0,0
9812,0,0,0,0
25172,0,0,0,0
40532,0,0,0,0
55892,0,0,0,0
5717,0,0,0,0
21077,0,0,0,0
36437,0,0,0,0
51797,0,0,0,0
1622,0,0,0,0
16982,0,0,0,0
32342,0,0,0,0
47702,0,0,0,0
63062,0,0,0,0
12887,0,0,0,0
28247,0,0,0,0
43607,0,0,0,0
58967,0,0,0,0
8792,0,0,0,0
24152,0,0,0,0
39512,0,0,0,0
54872,0,0,0,0
4697,0,0,0,0
20057,0,0,0,0
35417,0,0,0,0
50777,0,0,0,0
602,0,0,0,0
15962,0,0,0,0
31322,0,0,0,0
46682,0,0,0,0
62042,0,0,0,0
11867,0,0,0,0
27227,0,0,0,0
42587,0,0,0,0
57947,0,0,0,0
7772,0,0,0,0
23132,0,0,0,0
38492,0,0,0,0
53852,0,0,0,0
3677,0,0,0,0
19037,0,0,0,0
34397,0,0,0,0
49757,0,0,0,0
65117,0,0,0,0
14942,0,0,0,0
30302,0,0,0,0
45662,0,0,0,0
61022,0,0,0,0
10847,0,0,0,0
26207,0,0,0,0
41567,0,0,0,0
56927,0,0,0,0
6752,0,0,0,0
22112,0,0,0,0
37472,0,0,0,0
52832,0,0,0,0
2657,0,0,0,0
18017,0,0,0,0
33377,0,0,0,0
48737,0,0,0,0
64097,0,0,0,0
13922,0,0,0,0
29282,0,0,0,0
44642,0,0,0,0
60002,0,0,0,0
9827,0,0,0,0
25187,0,0,0,0
40547,0,0,0,0
55907,0,0,0,0
5732,0,0,0,0
21092,0,0,0,0
36452,0,0,0,0
51812,0,0,0,0
1637,0,0,0,0
16997,0,0,0,0
32357,0,0,0,0
47717,0,0,0,0
63077,0,0,0,0
12902,0,0,0,0
28262,0,0,0,0
43622,0,0,0,0
58982,0,0,0,0
8807,0,0,0,0
24167,0,0,0,0
39527,0,0,0,0
54887,0,0,0,0
4712,0,0,0,0
20072,0,0,0,0
35432,0,0,0,0
50792,0,0,0,0
617,0,0,0,0
15977,0,0,0,0
31337,0,0,0,0
46697,0,0,0,0
62057,0,0,0,0
11882,0,0,0,0
27242,0,0,0,0
42602,0,0,0,0
57962,0,0,0,0
7787,0,0,0,0
23147,0,0,0,0
38507,0,0,0,0
53867,0,0,0,0
3692,0,0,0,0
19052,0,0,0,0
34412,0,0,0,0
49772,0,0,0,0
65132,0,0,0,0
14957,0,0,0,0
30317,0,0,0,0
45677,0,0,0,0
61037,0,0,0,0
10862,0,0,0,0
26222,0,0,0,0
41582,0,0,0,0
56942,0,0,0,0
6767,0,0,0,0
22127,0,0,0,0
37487,0,0,0,0
52847,0,0,0,0
2672,0,0,0,0
18032,0,0,0,0
33392,0,0,0,0
48752,0,0,0,0
64112,0,0,0,0
13937,0,0,0,0
29297,0,0,0,0
44657,0,0,0,0
60017,0,0,0,0
9842,0,0,0,0
25202,0,0,0,0
40562,0,0,0,0
55922,0,0,0,0
5747,0,0,0,0
21107,0,0,0,0
36467,0,0,0,0
51827,0,0,0,0
1652,0,0,0,0
